community_id,node_label,preferredName,queryItem,stringId
1,SIT4,SIT4,SIT4,4932.YDL047W
1,SKI8,SKI8,SKI8,4932.YGL213C
1,SKP1,SKP1,SKP1,4932.YDR328C
1,SLA1,SLA1,SLA1,4932.YBL007C
1,SLD2,SLD2,SLD2,4932.YKL108W
1,SLD5,SLD5,SLD5,4932.YDR489W
1,SLI15,SLI15,SLI15,4932.YBR156C
1,SLX1,SLX1,SLX1,4932.YBR228W
1,SLX4,SLX4,SLX4,4932.YLR135W
1,SLX5,SLX5,SLX5,4932.YDL013W
1,SLX8,SLX8,SLX8,4932.YER116C
1,SMC1,SMC1,SMC1,4932.YFL008W
1,SMC2,SMC2,SMC2,4932.YFR031C
1,SMC3,SMC3,SMC3,4932.YJL074C
1,SMC4,SMC4,SMC4,4932.YLR086W
1,SMC5,SMC5,SMC5,4932.YOL034W
1,SMC6,SMC6,SMC6,4932.YLR383W
1,SNC1,SNC1,SNC1,4932.YAL030W
1,SNF11,SNF11,SNF11,4932.YDR073W
1,SNF12,SNF12,SNF12,4932.YNR023W
1,SNF2,SNF2,SNF2,4932.YOR290C
1,SNF5,SNF5,SNF5,4932.YBR289W
1,SNF6,SNF6,SNF6,4932.YHL025W
1,SNO1,SNO1,SNO1,4932.YMR095C
1,SNZ1,SNZ1,SNZ1,4932.YMR096W
1,SOH1,SOH1,SOH1,4932.YGL127C
1,SPA2,SPA2,SPA2,4932.YLL021W
1,SPC110,SPC110,SPC110,4932.YDR356W
1,SPC24,SPC24,SPC24,4932.YMR117C
1,SPC25,SPC25,SPC25,4932.YER018C
1,SPC29,SPC29,SPC29,4932.YPL124W
1,SPC42,SPC42,SPC42,4932.YKL042W
1,SPC72,SPC72,SPC72,4932.YAL047C
1,SPC97,SPC97,SPC97,4932.YHR172W
1,SPC98,SPC98,SPC98,4932.YNL126W
1,SPO11,SPO11,SPO11,4932.YHL022C
1,SPP1,SPP1,SPP1,4932.YPL138C
1,SPT15,SPT15,SPT15,4932.YER148W
1,SPT16,SPT16,SPT16,4932.YGL207W
1,SPT20,SPT20,SPT20,4932.YOL148C
1,SPT3,SPT3,SPT3,4932.YDR392W
1,SPT4,SPT4,SPT4,4932.YGR063C
1,SPT5,SPT5,SPT5,4932.YML010W
1,SPT7,SPT7,SPT7,4932.YBR081C
1,SPT8,SPT8,SPT8,4932.YLR055C
1,SRB2,SRB2,SRB2,4932.YHR041C
1,SRB4,SRB4,SRB4,4932.YER022W
1,SRB5,SRB5,SRB5,4932.YGR104C
1,SRB6,SRB6,SRB6,4932.YBR253W
1,SRB7,SRB7,SRB7,4932.YDR308C
1,SRB8,SRB8,SRB8,4932.YCR081W
1,SRO7,SRO7,SRO7,4932.YPR032W
1,SRV2,SRV2,SRV2,4932.YNL138W
1,SSA3,SSA3,SSA3,4932.YBL075C
1,SSL1,SSL1,SSL1,4932.YLR005W
1,SSL2,SSL2,SSL2,4932.YIL143C
1,SSN2,SSN2,SSN2,4932.YDR443C
1,SSN3,SSN3,SSN3,4932.YPL042C
1,SSN8,SSN8,SSN8,4932.YNL025C
1,SSO1,SSO1,SSO1,4932.YPL232W
1,SSZ1,SSZ1,SSZ1,4932.YHR064C
